Post,Depth
0.352,1
0.353,1.4
0.354,1
0.355,1
0.356,1.3
0.357,1
0.358,1.6
0.359,1
0.36,1
0.361,1.3
0.362,1.1
0.363,1.1
0.364,1.3
0.365,1.1
0.366,1.1
0.367,1.1
0.368,1.1
0.369,1.3
0.37,1.3
0.371,1
0.372,1
0.373,1
0.374,1
0.375,1.1
0.376,1.1
0.377,1
0.378,1.3
0.379,1
0.38,1
0.381,1
0.382,1.6
0.383,1.1
0.384,1.1
0.385,1.1
0.386,1.1
0.387,1.8
0.388,1.1
0.389,1.6
0.39,1.3
0.391,1.4
0.392,1
0.393,1
0.394,1.3
0.395,1
0.396,1.3
0.397,1
0.398,1
0.399,1
0.4,1.1
0.401,1
0.402,1.1
0.403,1
0.404,1
0.405,1.1
0.406,1.3
0.407,1
0.408,1
0.409,1.4
0.41,1.3
0.411,1.3
0.412,1.1
0.413,1
0.414,2.2
0.415,1
0.416,1
0.417,1
0.418,1.1
0.419,1.6
0.42,1.1
0.421,1.8
0.422,1
0.423,1.1
0.424,1
0.425,1
0.426,1.3
0.427,1.4
0.428,1.1
0.429,1
0.43,1.3
0.431,1
0.432,2.2
0.433,1.4
0.434,1
0.435,1.3
0.436,1.4
0.437,1
0.438,1.4
0.439,1
0.44,1.1
0.441,1.3
0.442,1
0.443,1
0.444,1
0.445,1
0.446,1.6
0.447,1
0.448,1.3
0.449,2
0.45,1
0.451,1.4
0.452,1
0.453,1.8
0.454,1
0.455,1
0.456,1
0.457,1.1
0.458,1.3
0.459,1
0.46,1
0.461,1
0.462,1
0.463,1
0.464,1
0.465,1.1
0.466,1
0.467,1
0.468,1.1
0.469,1
0.47,1.6
0.471,1.1
0.472,1.1
0.473,1
0.474,1
0.475,1.1
0.476,1
0.477,1
0.478,1.1
0.479,1
0.48,1.1
0.481,1
0.482,1.3
0.483,1.1
0.484,1.3
0.485,1.1
0.486,1.1
0.487,2
0.488,1
0.489,1
0.49,1.1
0.491,1.8
0.492,1.3
0.493,1.3
0.494,1.4
0.495,1.4
0.496,1.3
0.497,1.3
0.498,1
0.499,1
0.5,1.3
0.501,1.4
0.502,1.3
0.503,1
0.504,1.1
0.505,1.1
0.506,1
0.507,1
0.508,1
0.509,1.4
0.51,1.3
0.511,1.3
0.512,1.1
0.513,1
0.514,1
0.515,1
0.516,1.1
0.517,1
0.518,1.1
0.519,1.3
0.52,1.1
0.521,1.3
0.522,1
0.523,1
0.524,1
0.525,1
0.526,1
0.527,1
0.528,1.3
0.529,1
0.53,1
0.531,1
0.532,1.3
0.533,1
0.534,1
0.535,1.1
0.536,1.3
0.537,1.1
0.538,1
0.539,1
0.54,1.1
0.541,1.4
0.542,2.2
0.543,1.3
0.544,1.4
0.545,1.6
0.546,1
0.547,1.1
0.548,1
0.549,1
0.55,1
0.551,1.3
0.552,1
0.553,1
0.554,1
0.555,1
0.556,1.4
0.557,1.3
0.558,1.1
0.559,1.6
0.56,1
0.561,1
0.562,1.1
0.563,1.1
0.564,1
0.565,1.1
0.566,1.3
0.567,1.6
0.568,1
0.569,1.6
0.57,1
0.571,1.3
0.572,1.1
0.573,1
0.574,1.1
0.575,2
0.576,1
0.577,1.4
0.578,1
0.579,1
0.58,1
0.581,1.1
0.582,1.1
0.583,1.1
0.584,2.5
0.585,2
0.586,1.1
0.587,3.2
0.588,1.1
0.589,1
0.59,1.3
0.591,1.6
0.592,1
0.593,1
0.594,1
0.595,1
0.596,1.4
0.597,1
0.598,1
0.599,1
0.6,1.3
0.601,1
0.602,1.1
0.603,1.4
0.604,1.1
0.605,1.6
0.606,1
0.607,1
0.608,1
0.609,1.1
0.61,1.1
0.611,1.1
0.612,1.1
0.613,1.3
0.614,1.3
0.615,1
0.616,1.1
0.617,1
0.618,1.1
0.619,1.1
0.62,1.1
0.621,1.3
0.622,1.1
0.623,1.1
0.624,1
0.625,1.3
0.626,1
0.627,1
0.628,1.3
0.629,1.3
0.63,1.4
0.631,1.4
0.632,1.3
0.633,1
0.634,1
0.635,1
0.636,1.1
0.637,1.1
0.638,1
0.639,1
0.64,1.1
0.641,1
0.642,1.3
0.643,1.1
0.644,1.1
0.645,1
0.646,1
0.647,1.4
0.648,1.3
0.649,1.6
0.65,1.1
0.651,1
0.652,1.1
0.653,2.2
0.654,1.1
0.655,1
0.656,1
0.657,1
0.658,1.3
0.659,1
0.66,1.3
0.661,1.1
0.662,1.3
0.663,1
0.664,1.4
0.665,2
0.666,1
0.667,1
0.668,1.6
0.669,3.2
0.67,1.8
0.671,1.4
0.672,1
0.673,1
0.674,1.1
0.675,1.6
0.676,1.4
0.677,0.5
0.678,1.1
0.679,1
0.68,1
0.681,1.3
0.682,1.1
0.683,1
0.684,1
0.685,1
0.686,1.4
0.687,1
0.688,1
0.689,1
0.69,1.4
0.691,1
0.692,1.3
0.693,1.6
0.694,1.6
0.695,1.1
0.696,1.1
0.697,1
0.698,1.4
0.699,1
0.7,1.3
0.701,1.3
0.702,1
0.703,1
0.704,1
0.705,1
0.706,1.3
0.707,1.4
0.708,1.3
0.709,1.3
0.71,1.1
0.711,1
0.712,1.1
0.713,1
0.714,1
0.715,1.1
0.716,1.6
0.717,1.1
0.718,1
0.719,2
0.72,1
0.721,1.4
0.722,2.2
0.723,1
0.724,1
0.725,1.3
0.726,1.3
0.727,1.8
0.728,1
0.729,1.8
0.73,1
0.731,1.4
0.732,1.1
0.733,1
0.734,1
0.735,1
0.736,1.3
0.737,1.1
0.738,1
0.739,1.1
0.74,1.1
0.741,1.4
0.742,1.8
0.743,1.1
0.744,1.1
0.745,1.3
0.746,1.1
0.747,1
0.748,1
0.749,1.1
0.75,1
0.751,1.3
0.752,1
0.753,1
0.754,1.1
0.755,1
0.756,1
0.757,1
0.758,1
0.759,1
0.76,1.3
0.761,1
0.762,1
0.763,2.2
0.764,1
0.765,1
0.766,1
0.767,1
0.768,1
0.769,1.1
0.77,1.1
0.771,1.1
0.772,1
0.773,1.4
0.774,1
0.775,1
0.776,1.4
0.777,1.1
0.778,1.1
0.779,1.1
0.78,1.6
0.781,1.1
0.782,1
0.783,1
0.784,1.1
0.785,1.3
0.786,1
0.787,1.1
0.788,1.3
0.789,1
0.79,1
0.791,1
0.792,1.3
0.793,1.3
0.794,1
0.795,1
0.796,1.3
0.797,1.1
0.798,1.1
0.799,1
0.8,1.1
0.801,1.3
0.802,1.1
0.803,1.1
0.804,1
0.805,1
0.806,1.3
0.807,1
0.808,1.1
0.809,1.3
0.81,1.1
0.811,1.3
0.812,1.6
0.813,1.1
0.814,1
0.815,1.3
0.816,1
0.817,1
0.818,1.1
0.819,1.1
0.82,1
0.821,1.1
0.822,1.3
0.823,1.4
0.824,1.1
0.825,1.3
0.826,1
0.827,1
0.828,1
0.829,2
0.83,1
0.831,1.1
0.832,1.1
0.833,1.1
0.834,1.3
0.835,1
0.836,1
0.837,1.8
0.838,1
0.839,1.1
0.84,1
0.841,1.1
0.842,1.1
0.843,1.6
0.844,1
0.845,1.1
0.846,1.1
0.847,1.3
0.848,1
0.849,1
0.85,1.1
0.851,1.6
0.852,1.1
0.853,1
0.854,1.1
0.855,1
0.856,1.1
0.857,1.8
0.858,1
0.859,1.3
0.86,1
0.861,1.6
0.862,1.1
0.863,1.8
0.864,1
0.865,1
0.866,1
0.867,1.4
0.868,1.6
0.869,1.3
0.87,1.6
0.871,1.1
0.872,1
0.873,1
0.874,1
0.875,2.5
0.876,1.4
0.877,1
0.878,1
0.879,1.1
0.88,1
0.881,1.1
0.882,2
0.883,1.1
0.884,1
0.885,1
0.886,1
0.887,1
0.888,1
0.889,1.6
0.89,1.4
0.891,1.4
0.892,1.1
0.893,1
0.894,1.1
0.895,1
0.896,1
0.897,1
0.898,1.4
0.899,1.3
0.9,1.3
0.901,1.4
0.902,1.1
0.903,1
0.904,1
0.905,1.4
0.906,1.6
0.907,1.3
0.908,1.1
0.909,1
0.91,1.3
0.911,1
0.912,1
0.913,1.4
0.914,1.3
0.915,1.1
0.916,1.3
0.917,1
0.918,1.3
0.919,1
0.92,1
0.921,1.3
0.922,1
0.923,1.1
0.924,1.3
0.925,1.1
0.926,1.4
0.927,1
0.928,1
0.929,1.3
0.93,1.4
0.931,1
0.932,1.1
0.933,1.3
0.934,1.1
0.935,1.3
0.936,1
0.937,1.3
0.938,1
0.939,1.1
0.94,1
0.941,1.1
0.942,1
0.943,1
0.944,2
0.945,1
0.946,1.4
0.947,1
0.948,1.8
0.949,1
0.95,1.1
0.951,1
0.952,1
0.953,1.3
0.954,1.3
0.955,1
0.956,1
0.957,1
0.958,1.4
0.959,1.6
0.96,1.1
0.961,1.4
0.962,1
0.963,2.2
0.964,1.3
0.965,1
0.966,1.3
0.967,1.1
0.968,1
0.969,1.1
0.97,1
0.971,1
0.972,1
0.973,1.3
0.974,1
0.975,1
0.976,1.3
0.977,1.8
0.978,1.6
