Post,Depth
0.4,1.52
0.401,1.4
0.402,1.52
0.403,1.4
0.404,1.4
0.405,1.52
0.406,1.76
0.407,1.4
0.408,1.4
0.409,1.88
0.41,1.76
0.411,1.76
0.412,1.52
0.413,1.4
0.414,2.84
0.415,1.4
0.416,1.4
0.417,1.4
0.418,1.52
0.419,2.12
0.42,1.52
0.421,2.36
0.422,1.4
0.423,1.52
0.424,1.4
0.425,1.4
0.426,1.76
0.427,1.88
0.428,1.52
0.429,1.4
0.43,1.76
0.431,1.4
0.432,2.84
0.433,1.88
0.434,1.4
0.435,1.76
0.436,1.88
0.437,1.4
0.438,1.88
0.439,1.4
0.44,1.52
0.441,1.76
0.442,1.4
0.443,1.4
0.444,1.4
0.445,1.4
0.446,2.12
0.447,1.4
0.448,1.76
0.449,2.6
0.45,1.4
0.451,1.88
0.452,1.4
0.453,2.36
0.454,1.4
0.455,1.4
0.456,1.4
0.457,1.52
0.458,1.76
0.459,1.4
0.46,1.4
0.461,1.4
0.462,1.4
0.463,1.4
0.464,1.4
0.465,1.52
0.466,1.4
0.467,1.4
0.468,1.52
0.469,1.4
0.47,2.12
0.471,1.52
0.472,1.52
0.473,1.4
0.474,1.4
0.475,1.52
0.476,1.4
0.477,1.4
0.478,1.52
0.479,1.4
0.48,1.52
0.481,1.4
0.482,1.76
0.483,1.52
0.484,1.76
0.485,1.52
0.486,1.52
0.487,2.6
0.488,1.4
0.489,1.4
0.49,1.52
0.491,2.36
0.492,1.76
0.493,1.76
0.494,1.88
0.495,1.88
0.496,1.76
0.497,1.76
0.498,1.4
0.499,1.4
0.5,1.76
0.501,1.88
0.502,1.76
0.503,1.4
0.504,1.52
0.505,1.52
0.506,1.4
0.507,1.4
0.508,1.4
0.509,1.88
0.51,1.76
0.511,1.76
0.512,1.52
0.513,1.4
0.514,1.4
0.515,1.4
0.516,1.52
0.517,1.4
0.518,1.52
0.519,1.76
0.52,1.52
0.521,1.76
0.522,1.4
0.523,1.4
0.524,1.4
0.525,1.4
0.526,1.4
0.527,1.4
0.528,1.76
0.529,1.4
0.53,1.4
0.531,1.4
0.532,1.76
0.533,1.4
0.534,1.4
0.535,1.52
0.536,1.76
0.537,1.52
0.538,1.4
0.539,1.4
0.54,1.52
0.541,1.88
0.542,2.84
0.543,1.76
0.544,1.88
0.545,2.12
0.546,1.4
0.547,1.52
0.548,1.4
0.549,1.4
0.55,1.4
0.551,1.76
0.552,1.4
0.553,1.4
0.554,1.4
0.555,1.4
0.556,1.88
0.557,1.76
0.558,1.52
0.559,2.12
0.56,1.4
0.561,1.4
0.562,1.52
0.563,1.52
0.564,1.4
0.565,1.52
0.566,1.76
0.567,2.12
0.568,1.4
0.569,2.12
0.57,1.4
0.571,1.76
0.572,1.52
0.573,1.4
0.574,1.52
0.575,2.6
0.576,1.4
0.577,1.88
0.578,1.4
0.579,1.4
0.58,1.4
0.581,1.52
0.582,1.52
0.583,1.52
0.584,3.2
0.585,2.6
0.586,1.52
0.587,4.04
0.588,1.52
0.589,1.4
0.59,1.76
0.591,2.12
0.592,1.4
0.593,1.4
0.594,1.4
0.595,1.4
0.596,1.88
0.597,1.4
0.598,1.4
0.599,1.4
0.6,1.76
0.601,1.4
0.602,1.52
0.603,1.88
0.604,1.52
0.605,2.12
0.606,1.4
0.607,1.4
0.608,1.4
0.609,1.52
0.61,1.52
0.611,1.52
0.612,1.52
0.613,1.76
0.614,1.76
0.615,1.4
0.616,1.52
0.617,1.4
0.618,1.52
0.619,1.52
0.62,1.52
0.621,1.76
0.622,1.52
0.623,1.52
0.624,1.4
0.625,1.76
0.626,1.4
0.627,1.4
0.628,1.76
0.629,1.76
0.63,1.88
0.631,1.88
